Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),135,22.964134972395723,75.8947210030726,0.3508144616529317,0.44050231283396063,2.6909856921770183,4,A_baseline
Vd (L),111,1048.1078942268819,3233.1589341388794,0.2759654765557796,0.4290681733250617,3.6438474247958785,4,A_baseline
CL (L/h),107,49.04071579013361,96.68521677210981,0.1003809452437739,0.17530896251730227,3.893063713686357,4,A_baseline
F (%),65,25.35298075749324,30.29622508205223,-0.006632951535060435,-0.012205664062685367,1.6821239169259632,4,A_baseline
PPB (%),118,21.085664303019897,29.268809695872438,0.4286231115276304,0.4689818273539529,3.302037735403092,4,A_baseline
Cmax (uM),83,30.756103594206184,131.90507242835164,0.24561525838533482,0.2370819711735088,13.11911996401373,4,A_baseline
Tmax (h),73,1.2123061594897753,1.619436721168173,0.31719732115842286,0.3181344681585911,1.6512082559786132,4,A_baseline
