Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),126,21.03048995464567,64.08119394652923,0.13911362258467483,0.3146520343208608,2.6014019161957553,3,A_baseline
Vd (L),95,478.3491800529078,1374.8199089901245,0.2287315793280783,0.4782502190155147,3.72856162040484,3,A_baseline
CL (L/h),89,34.27577233282368,90.98290856064796,0.14258734819941646,0.2340958907554821,3.5650355505930085,3,A_baseline
F (%),61,29.732478682721247,37.538910380542234,-0.13953098537498426,-0.14395706151264406,2.0378879664571525,3,A_baseline
PPB (%),109,23.022616234175658,32.384864792689946,0.3113162788589483,0.23818658040461674,2.463581397336372,3,A_baseline
Cmax (uM),72,18.872692839271625,42.80206776126603,-0.24888081499341738,-0.01865101696518916,12.40596139092969,3,A_baseline
Tmax (h),67,1.628598734300528,2.7064344985675746,0.25411155753702996,0.08159099117493722,1.846432562024093,3,A_baseline
