ORIG_INDEX,Unnamed: 0,Name,CAS,Year,Status,Is_a_Metabolite,Has_a_Metabolite,Route,VD(liter),Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),SMILES,ChEMBL_ID,pKa_acidic_cx,pKa_basic_cx,IonType,Tmax,Cmax_uM,log_t1/2(hour),log_VD(liter),log_Cl(liter/hour),log_Cmax_uM,logit_F(percentage),logit_PPB(percentage),log_Tmax,NAME_NORM,LogP,MW,BCS_Candidate
470,470,ITRACONAZOLE,84625-61-6,1992,,,,ORAL INJECTION ,796.0,22.8,64.0,99.8,55.0,3.2,MICROMOLAR,4.6,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O.Cl,CHEMBL64391,,3.91,Neutral,4.6,3.2,1.8061799807697383,2.9009130682832653,1.357934866048457,0.5051501140369105,0.0871501757189002,2.6981005456233835,0.6627579260934077,ITRACONAZOLE,5.999100000000007,742.1080000000002,Class IV (Low Sol/Low Perm)
471,471,TACRINE,321-64-2,1993,DISCONTINUED,,,ORAL ,349.0,218.0,3.0,55.0,17.0,,,1.5,Nc1c2c(nc3ccccc13)CCCC2,CHEMBL95,,8.95,Cationic,1.5,,0.4771213994844656,2.5428254282035767,2.3384564955967813,,-0.6886291709978,0.0871501757189002,0.1760915485852393,TACRINE,2.695800000000001,198.26899999999992,Class I/III (High Solubility)
472,472,DESOGESTREL,54024-22-5,1992,,, 866 ,ORAL ,,,,,84.0,,, ;,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CHEMBL1533,,,Neutral,,,,,,,0.7201593034059569,,,DESOGESTREL,4.869700000000004,310.48100000000005,Class I/III (High Solubility)
473,473,BUDESONIDE,51333-22-3,1994,,,,NASAL INHALATION ORAL RECTAL ,195.0,72.0,2.5,87.5,9.0,2.6,NANOMOLAR,1.5,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CHEMBL1370,13.75,,Neutral,1.5,0.0026,0.3979401823897956,2.290034613589669,1.857332502463136,-2.5848596478041275,-1.0047988828817689,0.8450980400142568,0.1760915485852393,BUDESONIDE,2.716800000000001,430.5410000000002,Class I/III (High Solubility)
474,474,VENLAFAXINE,93413-69-5,1993,,, 1432  1433 ,ORAL ,487.0,84.5,5.0,27.0,92.0,812,NANOMOLAR,2,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,CHEMBL637,,8.91,Cationic,2.0,0.812,0.6989700911949065,2.6875289621064096,1.926856714089272,-0.0904434359137329,1.0606978403536116,-0.4319590959614686,0.3010302128111679,VENLAFAXINE,3.457400000000003,313.86899999999986,Class I/III (High Solubility)
475,475,NEFAZODONE,83366-66-9,1994,,,,ORAL ,35.4,29.2,3.0,99.0,20.0,,,1,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl,CHEMBL623,,7.09,Neutral,1.0,,0.4771213994844656,1.5490032742939932,1.4653828663215167,,-0.6020599913279624,1.99563519459755,4.3429426472042774e-07,NEFAZODONE,3.973700000000003,506.4780000000004,Class I/III (High Solubility)
476,476,DIDANOSINE,69655-05-6,1991,DISCONTINUED,, 1686 ,ORAL ,70.3,50.0,1.5,5.0,42.0,,,0.8,OCC1CCC(n2cnc3c(O)ncnc32)O1,CHEMBL1460,8.93,0.6,Neutral,0.8,,0.1760915485852393,1.8469553311975548,1.6989700130219083,,-0.1401787031650368,-1.278753600952829,-0.0969094701402932,DIDANOSINE,0.2018,236.231,Class I/III (High Solubility)
477,477,NILUTAMIDE,63612-50-0,1996,,,,ORAL ,,,45.0,82.0,100.0,,,,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,CHEMBL1274,,,Neutral,,,1.653212523426332,,,,2.999565488226007,0.6585413472804106,,NILUTAMIDE,2.4484000000000004,317.223,Class I/III (High Solubility)
478,478,FINASTERIDE,98319-26-7,1992,,,,ORAL ,76.0,9.9,6.0,90.0,63.0,99.4,NANOMOLAR,1.5,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,CHEMBL710,,0.33,Neutral,1.5,0.0994,0.7781513227660513,1.8808135979951923,0.9956352384656773,-1.0026092464648866,0.2311388253865867,0.9542425094393248,0.1760915485852393,FINASTERIDE,3.8145000000000016,372.55300000000017,Class I/III (High Solubility)
479,479,PERINDOPRIL,82834-16-0,1993,,, 1685 ,ORAL ,,,0.9,60.0,75.0,,,1,CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,CHEMBL1581,3.79,5.48,Anionic,1.0,,-0.0457570080115188,,,,0.4771212547196624,0.1760912590556812,4.3429426472042774e-07,PERINDOPRIL,1.940599999999999,368.47400000000016,Class I/III (High Solubility)
480,480,FELBAMATE,25451-15-4,1993,,,,ORAL ,49.1,1.6,21.5,25.0,90.0,,,,NC(=O)OCC(COC(N)=O)c1ccccc1,CHEMBL1094,,,Neutral,,,1.3324384801153482,1.6910815009680698,0.2041202540898911,,0.9542425094393248,-0.4771212547196624,,FELBAMATE,0.9607999999999992,238.243,Class I/III (High Solubility)
