ORIG_INDEX,Unnamed: 0,Name,CAS,Year,Status,Is_a_Metabolite,Has_a_Metabolite,Route,VD(liter),Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),SMILES,ChEMBL_ID,pKa_acidic_cx,pKa_basic_cx,IonType,Tmax,Cmax_uM,log_t1/2(hour),log_VD(liter),log_Cl(liter/hour),log_Cmax_uM,logit_F(percentage),logit_PPB(percentage),log_Tmax,NAME_NORM,LogP,MW,BCS_Candidate
0,0,SULFAPYRIDINE,144-83-2,1939,DISCONTINUED, 81 ,,ORAL ,,,,,,,, ;,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,CHEMBL700,6.24,2.14,Anionic,,,,,,,,,,SULFAPYRIDINE,1.4646,249.29500000000004,Class I/III (High Solubility)
1,1,BUTABARBITAL,125-40-6,1939,DISCONTINUED,,,ORAL ,,,100.0,,,,,,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],CHEMBL449,7.48,,Neutral,,,2.0000000043429447,,,,,,,BUTABARBITAL,-1.4169999999999978,234.231,Class I/III (High Solubility)
2,2,GUANIDINE,113-00-8,1939,DISCONTINUED,,,ORAL ,,,,,,,,,N=C(N)N,CHEMBL821,,12.55,Cationic,,,,,,,,,,GUANIDINE,-1.1614300000000002,59.072,Class I/III (High Solubility)
3,3,MENADIONE,58-27-5,0,DISCONTINUED,,,ORAL ,,,,,,,, ;,CC1=CC(=O)c2ccccc2C1=O,CHEMBL590,,,Neutral,,,,,,,,,,MENADIONE,2.0119,172.18299999999996,Class I/III (High Solubility)
4,4,THEOPHYLLINE,58-55-9,1940,,,,ORAL RECTAL INJECTION,29.2,2.5,8.7,40.0,,,, ;,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CHEMBL1355736,7.82,,Neutral,,,0.9395193025375216,1.4653828663215167,0.3979401823897956,,,-0.1760912590556812,,THEOPHYLLINE,-1.0397000000000003,180.167,Class I/III (High Solubility)
5,5,ERGOCALCIFEROL,50-14-6,1941,,,,ORAL INJECTION INTRAVENOUS ,,,,,,,,,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,CHEMBL1536,,,Neutral,,,,,,,,,,ERGOCALCIFEROL,7.641000000000008,396.6590000000001,Class II (Low Sol/High Perm)
6,6,DIETHYLSTILBESTROL,56-53-1,1973,DISCONTINUED,,,ORAL VAGINAL INJECTION ,,,,,,,, ;,CCC(=O)Oc1ccc(/C(CC)=C(\CC)c2ccc(OC(=O)CC)cc2)cc1,CHEMBL411,8.63,,Neutral,,,,,,,,,,DIETHYLSTILBESTROL,6.048200000000006,380.4840000000001,Class II (Low Sol/High Perm)
7,7,SULFADIAZINE,68-35-9,1941,,,,ORAL INJECTION ,18.8,2.1,7.0,56.0,,,, ;,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+],CHEMBL439,6.99,2.01,Anionic,,,0.8450981020563213,1.2741578723644496,0.3222195015407662,,,0.1047353505200129,,SULFADIAZINE,1.4504,357.14300000000003,Class I/III (High Solubility)
8,8,MEPERIDINE,57-42-1,1942,,,,ORAL INJECTION ,149.5,19.1,7.9,58.0,,1.38,MICROMOLAR,,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl,CHEMBL607,,8.16,Cationic,,1.38,0.8976271462644231,2.174641195565428,1.281033389985658,0.1398794011072687,,0.1401787031650368,,MEPERIDINE,2.6349000000000014,283.7989999999999,Class I/III (High Solubility)
9,9,HOMATROPINE METHYLBROMIDE,80-49-9,1943,,,,ORAL ,,,,,,,, ;,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2.[Br-],CHEMBL1200851,11.99,,Neutral,,,,,,,,,,HOMATROPINEMETHYLBROMIDE,-0.9629999999999976,370.287,Class I/III (High Solubility)
10,10,HYDROCODONE,125-29-1,1943,, 1862 , 568 ,ORAL ,,,16.0,,,76.2,NANOMOLAR,3.4 ;,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314.O.O.O=C(O)C(O)C(O)C(=O)O,CHEMBL1457,,8.61,Cationic,3.4,0.0762,1.204120009799329,,,-1.1180393292951472,,,0.5314790447759075,HYDROCODONE,-1.838699999999997,485.4860000000003,Class I/III (High Solubility)
11,11,ESTRADIOL,50-28-2,1957,, 19  20  21  1825 , 11 ,TRANSDERMAL VAGINAL ORAL TOPICAL INJECTION ,78.0,117.0,1.7,98.4,,639.7,PICOMOLAR,1 ;,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,CHEMBL135,10.33,,Neutral,1.0,0.0006397,0.230449176845541,1.8920946082583583,2.0681858654580805,-3.1933452760081398,,1.7888751157754184,4.3429426472042774e-07,ESTRADIOL,5.350300000000006,356.5060000000001,Class II (Low Sol/High Perm)
12,12,ETHINYL ESTRADIOL,57-63-6,1943,, 383 ,,ORAL TRANSDERMAL VAGINAL ,279.5,27.3,9.7,97.0,,418.9,NANOMOLAR,1.27 ;,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)c(O)cc4[C@H]3CC[C@@]21C,CHEMBL691,10.33,,Neutral,1.27,0.4189,0.9867717790388696,2.4463818137762683,1.4361626629489783,-0.3778886028902403,,1.5096504795465824,0.1038040629199811,ETHINYLESTRADIOL,3.3182000000000027,312.4090000000001,Class I/III (High Solubility)
13,13,ESTRADIOL VALERATE,979-32-8,1954,,, 17 ,INJECTION ORAL ,,,,,,,, ;,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,CHEMBL1511,10.33,,Neutral,,,,,,,,,,ESTRADIOLVALERATE,5.350300000000006,356.5060000000001,Class II (Low Sol/High Perm)
14,14,ESTRADIOL ACETATE,4245-41-4,2003,,, 17 ,VAGINAL ORAL ,,,,,,,, ;,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,CHEMBL1200430,,,Neutral,,,,,,,,,,ESTRADIOLACETATE,3.828900000000002,314.425,Class I/III (High Solubility)
15,15,METHAMPHETAMINE,537-46-2,1943,, 294 , 1106 ,ORAL ,242.0,17.1,12.2,15.0,67.2,,, ;,CNC(C)Cc1ccccc1,CHEMBL1201201,,10.21,Cationic,,,1.086359866272655,2.3838153677750364,1.2329961357894912,,0.3114954293421462,-0.7533276666586115,,METHAMPHETAMINE,1.837,149.237,Class I/III (High Solubility)
16,16,DICUMAROL,66-76-2,1944,DISCONTINUED,,,ORAL ,,,16.5,,,,, ;,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,CHEMBL1466,4.85,,Anionic,,,1.2174839705347833,,,,,,,DICUMAROL,2.9014000000000006,336.29900000000004,Class I/III (High Solubility)
17,17,VITAMIN A,68-26-8,1953,, 1325 ,,INJECTION INTRAVENOUS ORAL ,,,,,,,, ;,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,CHEMBL986,,,Neutral,,,,,,,,,,VITAMINA,5.510300000000006,286.45900000000006,Class II (Low Sol/High Perm)
18,18,DIPHENHYDRAMINE,58-73-1,1946,,,,ORAL INJECTION ,422.0,38.2,9.3,81.0,,207.8,NANOMOLAR,2.5,CN(C)CCOC(c1ccccc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,CHEMBL657,,8.87,Cationic,2.5,0.2078,0.968482995252264,2.6253124519908075,1.582063374280674,-0.6823523668200496,,0.6297314179258209,0.3979401823897956,DIPHENHYDRAMINE,2.1057,447.48400000000026,Class I/III (High Solubility)
19,19,SILODOSIN,160970-54-7,2008,,,,ORAL ,49.5,10.0,13.3,97.0,32.0,124.4,NANOMOLAR,2.6,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,CHEMBL24778,,9.66,Cationic,2.6,0.1244,1.123851673620805,1.6946052077071945,1.000000043429446,-0.9051761285460332,-0.3273589343863303,1.5096504795465824,0.4149735150071251,SILODOSIN,3.0711000000000013,495.5420000000002,Class I/III (High Solubility)
20,20,TRIMETHADIONE,127-48-0,1946,DISCONTINUED,, 1773 ,ORAL ,,,,,,,,,CN1C(=O)OC(C)(C)C1=O,CHEMBL695,,,Neutral,,,,,,,,,,TRIMETHADIONE,0.3735999999999999,143.142,Class I/III (High Solubility)
21,21,FOLIC ACID,59-30-3,1946,, 105  1853 ,,ORAL INJECTION INTRAVENOUS ,,,,,,,, ;,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,CHEMBL1622,3.32,2.09,Anionic,,,,,,,,,,FOLICACID,-0.0447999999999994,441.40400000000017,Class I/III (High Solubility)
22,22,TRIPELENNAMINE,91-81-6,1948,DISCONTINUED,,,ORAL ,,,4.4,,,760.7,NANOMOLAR,0.5 ;,CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,CHEMBL1241,,8.76,Cationic,0.5,0.7607,0.6434527751894676,,,-0.1187860128310903,,,-0.3010291270758859,TRIPELENNAMINE,3.071600000000001,291.826,Class I/III (High Solubility)
23,23,CHLOROQUINE,54-05-7,1949,,,,ORAL INJECTION ,9100.0,16.0,570.0,55.0,,0.513,MICROMOLAR,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,,10.32,Cationic,,0.513,2.7558748564344118,3.9590413923688175,1.204120009799329,-0.2898817883110713,,0.0871501757189002,,CHLOROQUINE,4.810600000000004,319.88000000000005,Class I/III (High Solubility)
24,24,MEPHENYTOIN,50-12-4,1946,DISCONTINUED,,,ORAL ,97.5,1.17,77.0,,,,, ;,CCC1(c2ccccc2)NC(=O)N(C)C1=O,CHEMBL861,11.09,,Neutral,,,1.88649073081267,1.989004620152839,0.0681862329378678,,,,,MEPHENYTOIN,1.4735000000000005,218.25599999999997,Class I/III (High Solubility)
25,25,METHYLERGONOVINE,113-42-8,1946,,,,ORAL INJECTION ,56.1,14.4,3.39,,60.0,9.56,NANOMOLAR,1.12 ;,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1.O=C(O)/C=C\C(=O)O,CHEMBL1201356,,7.93,Cationic,1.12,0.00956,0.5301998263135299,1.748962868997596,1.1583625222545877,-2.0194966818066047,0.1760912590556812,,0.0492184104329387,METHYLERGONOVINE,1.6364999999999998,455.5110000000003,Class I/III (High Solubility)
26,26,SULFOXONE,144-76-3,1974,DISCONTINUED,,,ORAL ,,,,,,,, ;,O=S([O-])CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)[O-])cc2)cc1.[Na+].[Na+],CHEMBL1570,1.7,,Anionic,,,,,,,,,,SULFOXONE,-4.975599999999998,448.45500000000015,Class I/III (High Solubility)
27,27,ASCORBIC ACID,50-81-7,1947,,,,INJECTION INTRAVENOUS ORAL ,,,,,,,,,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,CHEMBL196,4.36,,Anionic,,,,,,,,,,ASCORBICACID,-1.4073999999999995,176.124,Class I/III (High Solubility)
28,28,NIACINAMIDE,98-92-0,1947,,,,INJECTION ORAL INTRAVENOUS ,,,,,,,, ;,NC(=O)c1cccnc1,CHEMBL1140,13.39,3.63,Neutral,,,,,,,,,,NIACINAMIDE,0.1805000000000001,122.12699999999997,Class I/III (High Solubility)
29,29,PYRIDOXINE,65-23-6,1947,,,,INJECTION ORAL INTRAVENOUS ,,,0.5,,,192,NANOMOLAR,5.7 ;,Cc1ncc(CO)c(CO)c1O,CHEMBL1364,9.4,5.58,Neutral,5.7,0.192,-0.3010291270758859,,,-0.7166965093519143,,,0.7558749318644991,PYRIDOXINE,0.0802199999999998,169.18,Class I/III (High Solubility)
30,30,METHADONE,76-99-3,1947,,,,ORAL INJECTION ,286.0,6.6,31.0,79.0,68.0,2.03,MICROMOLAR,,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,CHEMBL651,,9.12,Cationic,,2.03,1.491361707843772,2.456366034647555,0.8195440013440579,0.3074962518513286,0.3273589343863303,0.5754077965565222,,METHADONE,4.292000000000004,309.45300000000003,Class I/III (High Solubility)
31,31,PROPYLTHIOURACIL,51-52-5,1947,,,,ORAL ,22.1,12.09,1.3,82.0,,105.8,MICROMOLAR,0.75,CCCc1cc(=O)[nH]c(=S)[nH]1,CHEMBL1518,8.09,,Neutral,0.75,105.8,0.1139436863793866,1.3443922933364445,1.0824263367825635,2.0244856718040296,,0.6585413472804106,-0.1249381575493767,PROPYLTHIOURACIL,1.38499,170.237,Class I/III (High Solubility)
32,32,SULFAMERAZINE,127-79-7,1949,DISCONTINUED,,,ORAL ,,,20.3,,,,, ;,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL438,6.99,2.0,Anionic,,,1.3074960593070293,,,,,,,SULFAMERAZINE,1.16802,264.31,Class I/III (High Solubility)
33,33,SULFAMETHAZINE,57-68-1,1949,DISCONTINUED,,,ORAL ,,,,,,,, ;,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL446,6.99,2.0,Anionic,,,,,,,,,,SULFAMETHAZINE,1.4764399999999998,278.337,Class I/III (High Solubility)
34,34,DOXYLAMINE,469-21-6,1948,,,,ORAL ,,11.7,12.5,,,308,NANOMOLAR,2.5,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,CHEMBL1004,,8.87,Cationic,2.5,0.308,1.0969100477516136,,1.0681858988653463,-0.5114478734548257,,,0.3979401823897956,DOXYLAMINE,2.923300000000001,270.37600000000003,Class I/III (High Solubility)
35,35,AMODIAQUINE,86-42-0,0,DISCONTINUED,, 1772 ,ORAL ,,,12.4,,,85.8,NANOMOLAR,1.46 ;,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,CHEMBL682,9.1,10.17,Cationic,1.46,0.0858,1.0934217201859822,,,-1.0665076504735431,,,0.164353153246309,AMODIAQUINE,5.179200000000004,355.8690000000001,Class II (Low Sol/High Perm)
36,36,DIETHYLCARBAMAZINE,90-89-1,1950,DISCONTINUED,,,ORAL ,533.0,2.0,11.4,,,3.2,MICROMOLAR,2.7 ;,CCN(CC)C(=O)N1CCN(C)CC1,CHEMBL684,,6.9,Neutral,2.7,3.2,1.0569048894324782,2.726727209841384,0.3010302128111679,0.5051501140369105,,,0.4313639250087657,DIETHYLCARBAMAZINE,0.6956,199.29799999999997,Class I/III (High Solubility)
37,37,LIDOCAINE,137-58-6,1948,,,,INJECTION TOPICAL ORAL SPINAL RECTAL IONTOPHORESIS BUCCAL PERIODONTAL INTRADERMAL INTRAMUSCULAR INTRAVENOUS OPHTHALMIC ,117.0,57.0,1.75,70.0,,777,NANOMOLAR,0.5 ;,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O,CHEMBL79,13.78,7.75,Cationic,0.5,0.777,0.2430382968544988,2.0681858654580805,1.7558748632916927,-0.1095784222618882,,0.3679767852945944,-0.3010291270758859,LIDOCAINE,2.180840000000001,288.819,Class I/III (High Solubility)
38,38,SULFISOXAZOLE,127-69-5,1948,DISCONTINUED, 66 ,,ORAL INJECTION OPHTHALMIC,11.0,1.17,6.2,92.0,,682,MICROMOLAR,2.5 ;,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C.OCCNCCO,CHEMBL453,5.8,2.17,Anionic,2.5,682.0,0.7923917595457454,1.0413927246395398,0.0681862329378678,2.8337843752932743,,1.0606978403536116,0.3979401823897956,SULFISOXAZOLE,0.2350399999999997,372.4470000000002,Class I/III (High Solubility)
39,39,SULFISOXAZOLE ACETYL,80-74-0,1953,DISCONTINUED,, 65 ,ORAL ,,,,,,,,,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,CHEMBL1200910,,1.61,Neutral,,,,,,,,,,SULFISOXAZOLEACETYL,1.6154400000000002,309.34700000000004,Class I/III (High Solubility)
40,40,BETHANECHOL,590-63-6,1948,,,,INJECTION ORAL ,,,,,,,,,CC(C[N+](C)(C)C)OC(N)=O,CHEMBL1482,,,Neutral,,,,,,,,,,BETHANECHOL,0.1764,161.22499999999997,Class I/III (High Solubility)
41,41,CAFFEINE,58-08-2,1948,,,,ORAL RECTAL INTRAVENOUS,39.0,5.4,5.0,36.0,,41.2,MICROMOLAR,1.25,Cn1c(=O)c2c(ncn2C)n(C)c1=O,CHEMBL113,,,Neutral,1.25,41.2,0.6989700911949065,1.591064618162255,0.7323938402478651,1.6148972265742627,,-0.2498774732165999,0.0969103604435029,CAFFEINE,-1.0293,194.194,Class I/III (High Solubility)
42,42,ERGOTAMINE,113-15-5,1948,,,,ORAL RECTAL INHALATION SUBLINGUAL,120.0,44.0,2.25,98.0,62.0,3.3,MICROMOLAR,0.5 ;,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21.CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21.O=C(O)C(O)C(O)C(=O)O,CHEMBL442,9.69,7.78,Cationic,0.5,3.3,0.3521827111310893,2.0791812496667457,1.6434526863565164,0.518514071482256,0.2126080928814437,1.6901960800285136,-0.3010291270758859,ERGOTAMINE,1.859000000000016,1313.4319999999998,Class I/III (High Solubility)
43,43,TRIHEXYPHENIDYL,144-11-6,1949,,,,ORAL ,,,3.7,,,,, ;,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,CHEMBL1490,13.84,9.32,Cationic,,,0.5682018414438662,,,,,,,TRIHEXYPHENIDYL,4.330500000000004,301.47400000000016,Class I/III (High Solubility)
44,44,PARAMETHADIONE,115-67-3,1949,DISCONTINUED,,,ORAL ,,,,,,,, ;,CCC1(C)OC(=O)N(C)C1=O,CHEMBL1100,,,Neutral,,,,,,,,,,PARAMETHADIONE,0.7637,157.16899999999995,Class I/III (High Solubility)
45,45,AMINOSALICYLIC ACID,65-49-6,1950,, 78 ,,ORAL ,51.8,9.42,3.25,55.0,,130.7,MICROMOLAR,6 ;,Nc1ccc(C(=O)O)c(O)c1,CHEMBL1169,3.68,2.19,Anionic,6.0,130.7,0.5118834946079251,1.7143297681292962,0.974050948896323,2.116275590903379,,0.0871501757189002,0.7781513227660513,AMINOSALICYLICACID,0.6726000000000001,153.137,Class I/III (High Solubility)
46,46,CHLORPHENIRAMINE,132-22-9,1949,,,,ORAL INJECTION ,214.5,9.75,24.0,30.0,,26.2,NANOMOLAR,3.5 ;,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C/C(=O)O,CHEMBL505,,9.47,Cationic,3.5,0.0262,1.3802112598072092,2.331427298545426,0.9890046602415584,-1.581682132871321,,-0.3679767852945944,0.5440681684343956,CHLORPHENIRAMINE,3.5304,390.8670000000001,Class I/III (High Solubility)
47,47,PHENYL AMINOSALICYLATE,133-11-9,0,DISCONTINUED,, 76 ,ORAL ,,,,,,,, ;,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,CHEMBL1200868,9.87,2.32,Neutral,,,,,,,,,,PHENYLAMINOSALICYLATE,2.1936,229.23500000000004,Class I/III (High Solubility)
48,48,DEXCHLORPHENIRAMINE,25523-97-1,1950,,,,ORAL INJECTION ,214.5,9.75,24.0,30.0,,26.2,NANOMOLAR,3.5 ;,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,CHEMBL1201353,,9.47,Cationic,3.5,0.0262,1.3802112598072092,2.331427298545426,0.9890046602415584,-1.581682132871321,,-0.3679767852945944,0.5440681684343956,DEXCHLORPHENIRAMINE,3.5304,390.8670000000001,Class I/III (High Solubility)
49,49,SULFASALAZINE,599-79-1,1950,,, 1  1399 ,ORAL ,7.5,1.0,7.6,99.3,15.0,15,MICROMOLAR,6 ;,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,CHEMBL421,3.23,0.55,Anionic,6.0,15.0,0.8808136494247983,0.8750613212976271,4.3429426472042774e-07,1.1760912880086458,-0.7533276666586115,2.1518512084811223,0.7781513227660513,SULFASALAZINE,3.701600000000001,398.4000000000001,Class I/III (High Solubility)
50,50,CORTISONE ACETATE,50-04-4,1950,DISCONTINUED,, 1771 ,INJECTION ORAL ,,,,,,,,,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,CHEMBL1650,12.6,,Neutral,,,,,,,,,,CORTISONEACETATE,2.560600000000001,402.48700000000025,Class I/III (High Solubility)
51,51,PROCAINAMIDE,51-06-9,1950,,,,ORAL INJECTION ,130.0,39.0,3.1,17.5,,,, ;,CCN(CC)CCNC(=O)c1ccc(N)cc1,CHEMBL640,,9.04,Cationic,,,0.4913618339292442,2.113943355647564,1.591064618162255,,,-0.6734158998636306,,PROCAINAMIDE,1.3403999999999996,235.331,Class I/III (High Solubility)
52,52,ASPIRIN,50-78-2,1950,,, 1770 ,ORAL ,10.0,27.7,0.25,32.0,,1.77,MICROMOLAR,,CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,3.41,,Anionic,,1.77,-0.6020582541535092,1.000000043429446,1.4424797847429494,0.2479735117258513,,-0.3273589343863303,,ASPIRIN,1.3101,180.159,Class I/III (High Solubility)
53,53,OXYCODONE,76-42-6,1950,,,,ORAL ,169.0,48.0,4.5,45.0,73.5,312.7,NANOMOLAR,2.1,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,CHEMBL656,13.57,8.21,Cationic,2.1,0.3127,0.6532126102852178,2.227886707183463,1.6812412464233888,-0.5048707299058117,0.443041465147387,-0.0871501757189001,0.3222195015407662,OXYCODONE,1.0481999999999998,315.3690000000001,Class I/III (High Solubility)
54,54,SECOBARBITAL,76-73-3,1950,DISCONTINUED,,,INJECTION ORAL RECTAL,97.5,,28.0,50.0,90.0,,,3,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+],CHEMBL447,7.48,,Neutral,3.0,,1.447158046852736,1.989004620152839,,,0.9542425094393248,0.0,0.4771213994844656,SECOBARBITAL,-0.8607999999999985,260.26899999999995,Class I/III (High Solubility)
55,55,DICYCLOMINE,77-19-0,1950,,,,ORAL INJECTION ,237.0,91.2,1.8,,,,,1.25,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl,CHEMBL1123,,8.96,Cationic,1.25,,0.2552727463779512,2.37474834784257,1.959994843090417,,,,0.0969103604435029,DICYCLOMINE,4.824000000000006,345.9550000000001,Class I/III (High Solubility)
56,56,METHIMAZOLE,60-56-0,1950,,,,ORAL ,136.0,4.6,5.4,,,1.3,MICROMOLAR,0.9,Cn1ccnc1S,CHEMBL1515,7.87,5.21,Neutral,0.9,1.3,0.7323938402478651,2.1335389115635595,0.6627579260934077,0.1139436863793866,,,-0.0457570080115188,METHIMAZOLE,0.7087999999999999,114.173,Class I/III (High Solubility)
57,57,QUINIDINE,56-54-2,1950,,,,INJECTION ORAL ,162.5,15.6,7.0,84.0,70.0,,,2,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,CHEMBL1294,13.89,9.05,Cationic,2.0,,0.8450981020563213,2.2108533679874744,1.1931246261938506,,0.3679767852945944,0.7201593034059569,0.3010302128111679,QUINIDINE,-0.3198999999999996,520.5790000000003,Class I/III (High Solubility)
58,58,PHENACEMIDE,63-98-9,1951,DISCONTINUED,,,ORAL ,,,,,,,, ;,NC(=O)NC(=O)Cc1ccccc1,CHEMBL918,11.75,,Neutral,,,,,,,,,,PHENACEMIDE,0.4239999999999995,178.191,Class I/III (High Solubility)
59,59,DYPHYLLINE,479-18-5,1951,DISCONTINUED,,,ORAL INJECTION ,27.3,18.7,2.0,,,67,MICROMOLAR,,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,CHEMBL1752,13.9,,Neutral,,67.0,0.3010302128111679,1.4361626629489783,1.2718416297608022,1.8260748091828336,,,,DYPHYLLINE,-2.213099999999999,254.246,Class I/III (High Solubility)
60,60,DISULFIRAM,97-77-8,1951,,,,ORAL ,,,,,,,,,CCN(CC)C(=S)SSC(=S)N(CC)CC,CHEMBL964,,,Neutral,,,,,,,,,,DISULFIRAM,3.621200000000002,296.5520000000001,Class I/III (High Solubility)
61,61,PROBENECID,57-66-9,1951,,,,ORAL ,8.4,0.97,5.9,97.0,,,,,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,CHEMBL897,3.53,,Anionic,,,0.7708520852513722,0.9242793377636026,-0.0132278180077159,,,1.5096504795465824,,PROBENECID,2.1955,285.36499999999995,Class I/III (High Solubility)
62,62,PROMETHAZINE,60-87-7,1951,,,,ORAL INJECTION RECTAL,910.0,54.0,14.0,91.0,,,,,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CHEMBL643,,9.05,Cationic,,,1.1461280666992713,2.95904139279834,1.7323937678654588,,,1.0047988828817689,,PROMETHAZINE,4.239400000000003,284.428,Class I/III (High Solubility)
63,63,PHENYLEPHRINE,59-42-7,1952,,,,OPHTHALMIC ORAL INHALATION INTRAVENOUS IRRIGATION,340.0,2.0,1.35,,,5.2,MILLIMOLAR,0.76 ;,CNC[C@H](O)c1cccc(O)c1.Cl,CHEMBL1215,9.07,9.69,Cationic,0.76,,0.1303340901945032,2.531478918319592,0.3010302128111679,,,,-0.1191858362794768,PHENYLEPHRINE,1.0668,203.669,Class I/III (High Solubility)
64,64,PYRILAMINE,91-84-9,1973,DISCONTINUED,,,OPHTHALMIC ORAL,,,,,,,, ;,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1.O=C(O)/C=C\C(=O)O,CHEMBL511,,8.76,Cationic,,,,,,,,,,PYRILAMINE,2.3702000000000005,401.46300000000014,Class I/III (High Solubility)
65,65,BROMODIPHENHYDRAMINE,1808-12-4,1954,DISCONTINUED,,,ORAL ,,,,,,,, ;,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1.Cl,CHEMBL1201245,,8.87,Cationic,,,,,,,,,,BROMODIPHENHYDRAMINE,4.538500000000004,370.718,Class I/III (High Solubility)
66,66,METHOTREXATE,59-05-2,1953,,,,ORAL INJECTION SUBCUTANEOUS INTRAVENOUS,39.0,8.2,7.5,50.0,60.0,2.3,MICROMOLAR,1.5 ;,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,CHEMBL34259,3.25,2.8,Anionic,1.5,2.3,0.8750613212976271,1.591064618162255,0.9138139053464552,0.3617280248412396,0.1760912590556812,0.0,0.1760915485852393,METHOTREXATE,-1.0323999999999915,712.6770000000006,Class I/III (High Solubility)
67,67,CHLOROTRIANISENE,569-57-3,0,DISCONTINUED,,,ORAL ,,,,,,,, ;,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,CHEMBL1200761,,,Neutral,,,,,,,,,,CHLOROTRIANISENE,5.867800000000005,380.8710000000001,Class II (Low Sol/High Perm)
