Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),135,21.587671496285335,73.59955658020147,0.34791875533464445,0.4509758285111977,2.6088713444213605,4,C_physio
Vd (L),111,1030.4763099189279,3260.3324075564783,0.14217563922495263,0.48621836521230694,3.3202259086082617,4,C_physio
CL (L/h),107,48.95025311087782,98.65763764259111,0.23708510031529834,0.31843508382643754,4.181821611241075,4,C_physio
F (%),65,25.714167034442607,32.61842812660486,0.030402523298981902,0.03292029464935749,1.6892485985495425,4,C_physio
PPB (%),118,18.052650742207547,26.888434804214057,0.570276685184445,0.5806563560812418,3.1865240488717195,4,C_physio
Cmax (uM),83,30.39117880609646,129.28828365838012,0.4138527283382382,0.47934595524956963,9.685038848887094,4,C_physio
Tmax (h),73,1.1721310344460891,1.5345591944665737,0.36428286364149415,0.4008094558415522,1.6184337238574291,4,C_physio
