Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),145,33.99478275325381,142.53485985755205,0.2989741542868453,0.46111268282963,2.628772439044379,5,B_ion
Vd (L),107,723.7170574309447,2395.644250834171,0.18970501365010667,0.6479386533366519,2.6690753874308046,5,B_ion
CL (L/h),103,38.53593454712803,119.11985018771173,0.08395132661602184,0.44929406542451333,2.9489149314350334,5,B_ion
F (%),73,25.911977932028574,31.763526660707356,0.11688376131548879,-0.0059657499840081556,1.8314314876069582,5,B_ion
PPB (%),130,17.00846778869629,25.586554804471024,0.4357309866435066,0.5113492601538006,2.3619234008234495,5,B_ion
Cmax (uM),81,19.828284020162513,74.78118267562759,0.15689357862100356,0.4066803300097252,8.05053646581782,5,B_ion
Tmax (h),91,1.376510380598215,2.503828322076098,0.2139589657115808,0.3357750346142393,1.602984056061413,5,B_ion
