Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),141,57.92771145949127,366.0543047636063,0.0771745361583247,0.5207875793774032,2.793362807249987,1,C_physio
Vd (L),110,429.4376902788336,1161.4327178193676,0.34164481682213615,0.7095277706697959,2.5416813941294083,1,C_physio
CL (L/h),109,26.61734296219502,48.93616664921529,0.18897477785108807,0.31993605643041817,3.080098322943942,1,C_physio
F (%),71,26.11693964568662,30.641887793155494,0.2283917582091363,0.19003654450165475,1.8469244786948738,1,C_physio
PPB (%),126,23.050849165235242,31.291536282994578,0.5823420010822778,0.6031866267752088,7.236993317391512,1,C_physio
Cmax (uM),89,39.95632264406251,154.95994186829122,0.2585956756639701,0.48520599250936336,8.790087352164567,1,C_physio
Tmax (h),72,1.5212852176030478,2.1804703919400046,0.3578075990252379,0.20336571802998651,1.8883907632938577,1,C_physio
