Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),145,33.90669434172532,142.91916249833477,0.2744999198748538,0.492450691818729,2.568624808768674,5,C_physio
Vd (L),107,726.6746859128007,2401.316985944175,0.18254135874971228,0.6464731816780956,2.6963987646934946,5,C_physio
CL (L/h),103,37.97987461904878,119.55769703143766,0.07977966647596252,0.5127101193445569,2.8480733850792426,5,C_physio
F (%),73,27.454742778621306,33.69307996121689,0.11321104258554118,0.0555131172509323,1.8717038193044968,5,C_physio
PPB (%),130,16.136278692392203,24.508341324471317,0.5287495339573909,0.5584937235628153,2.324456341304082,5,C_physio
Cmax (uM),81,19.721938069091017,75.16880265056714,0.13047278436003099,0.39642722048178325,8.18752189223412,5,C_physio
Tmax (h),91,1.37645944417178,2.5064057232982613,0.21810868047713491,0.3238447538073131,1.6022479783380508,5,C_physio
