Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),135,26.027629579473423,75.30624878228662,0.14572617261807122,0.3225419369515079,3.2961853004826533,4,B_ion
Vd (L),111,1093.8042414828462,3140.85687035086,0.25005900292508637,0.5047737725712641,4.199206012089282,4,B_ion
CL (L/h),107,49.25385880415016,90.93952510229586,0.17484843314623238,0.2717571797867719,3.91582976287087,4,B_ion
F (%),65,25.571061835655797,29.533581823020885,-0.12306212669673217,-0.12708764911147308,1.687034403612006,4,B_ion
PPB (%),118,25.218968743793035,30.747257094469987,0.18064165593032477,0.1760610743012937,3.4787146878156965,4,B_ion
Cmax (uM),83,30.854665100061034,132.0920124336588,0.11577600547387419,0.35133050318744485,14.063581115788892,4,B_ion
Tmax (h),73,2.038666356752996,2.3044200455536705,0.32607582024769655,0.44990935013827343,2.0877263182615584,4,B_ion
