Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),148,14.450497341252664,28.81246543149943,0.41630737498042586,0.4286055514098538,2.4777050464750885,2,A_baseline
Vd (L),117,423.1759266176794,1199.5036761581393,0.5044158091555818,0.5316333815097515,2.8482420073840107,2,A_baseline
CL (L/h),115,24.087327521116833,54.39514309075246,0.40772468480884994,0.35241225305821694,3.027295137722857,2,A_baseline
F (%),73,24.054515995391426,28.76914686606839,-0.11219094029487423,-0.05328312588842676,1.569030388326365,2,A_baseline
PPB (%),135,18.47741390086987,25.70779631221735,0.5543092628613868,0.5088486427367609,2.0615383995416785,2,A_baseline
Cmax (uM),95,26.427073052546,137.21504931879198,0.22194795556396235,0.5994379723123351,6.8859347036848515,2,A_baseline
Tmax (h),75,1.309430362256368,1.9208201977292614,0.15992596116424745,0.23619878044618003,1.8129381992345903,2,A_baseline
