Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),126,20.983044521543714,64.60010200653281,0.1466473597854232,0.24209205017588978,2.600632377308257,3,C_physio
Vd (L),95,502.3104189943013,1357.2476460758267,0.22132183063150088,0.7001574807436999,3.186029614472598,3,C_physio
CL (L/h),89,32.27128943561168,89.67656144538819,0.15910375821522266,0.4444766020031364,3.139827697375254,3,C_physio
F (%),61,27.444850633965164,34.53271571295618,0.2862020381499263,0.3577627983411088,1.9768293665384098,3,C_physio
PPB (%),109,24.3252165348158,33.49665910983013,0.14958247100134062,0.17797319098602904,2.5050293530186103,3,C_physio
Cmax (uM),72,18.68482896413088,42.523072086678376,0.48241351615202205,0.4968888174932809,10.349260391116939,3,C_physio
Tmax (h),67,1.642324717863282,2.6788306219134244,0.16722960399459227,0.02656217771665647,1.8564240315423557,3,C_physio
