Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),141,57.358970262716845,365.55985293521604,0.12249895772149764,0.5167007125335696,2.744435499370446,1,B_ion
Vd (L),110,441.11255004362624,1164.4917743109968,0.29092626939623534,0.692355377236823,2.5975533020151294,1,B_ion
CL (L/h),109,28.973563500308114,50.84635981127363,0.13664831643894443,0.3135046220983629,3.2069173608195363,1,B_ion
F (%),71,26.564412392629702,30.93532438826369,0.19431099154722262,0.13527711934419295,1.8588536641798306,1,B_ion
PPB (%),126,24.053561346871508,32.94007352675573,0.5828126976240963,0.6085981229638043,7.376783900054037,1,B_ion
Cmax (uM),89,39.96772558850979,155.10069610071733,0.259968067030272,0.46651344909771886,8.893217015631265,1,B_ion
Tmax (h),72,1.4803438285324308,2.1031852645319398,0.4679047802042081,0.32572723828876526,1.827221017124246,1,B_ion
