Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),148,15.04034215302081,29.291333237030443,0.337720621370115,0.34672838065392125,2.6499524617285477,2,C_physio
Vd (L),117,455.2822893599159,1284.6934498653923,0.2236969678672874,0.4945908633418639,2.9524482432455192,2,C_physio
CL (L/h),115,24.434588454205056,58.74095627534087,0.22523325342196787,0.3660958235621128,2.8876862521398317,2,C_physio
F (%),73,21.821025064546767,26.077383817217324,0.20594491149979102,0.1862439736297095,1.5060942977713399,2,C_physio
PPB (%),135,19.201125912136504,26.849820806812946,0.5300815361977648,0.5496855055160064,2.0811860921989225,2,C_physio
Cmax (uM),95,26.395668334542222,137.3047738223437,0.18083049126832867,0.652320893785838,6.795193034595138,2,C_physio
Tmax (h),75,1.349975364557902,1.949283424030237,0.07336082930977682,0.12239936802122113,1.8479368759905246,2,C_physio
