Task,ChemBERTa,Chemprop,PIPK-Net,ChemLLM
Vd,3.066,2.859,2.663,1612.506
CL,3.089,3.03,2.858,47615.801
t_half,2.795,2.937,2.751,3.361
F,1.946,1.943,2.005,2.166
PPB,1.373,1.301,1.412,1.459
Cmax,8.925,9.027,9.003,2163.632
Tmax,1.774,1.67,1.67,2.209
Macro-average,3.281,3.253,3.195,
