Task,ChemBERTa,Chemprop,PIPK-Net,ChemLLM
Vd,0.38,0.446,0.588,0.137
CL,0.357,0.371,0.417,0.127
t_half,0.331,0.384,0.362,0.171
F,0.306,0.276,0.139,-0.216
PPB,0.649,0.639,0.503,0.346
Cmax,0.455,0.443,0.413,0.088
Tmax,0.051,0.25,0.133,0.132
Macro-average,0.361,0.401,0.365,0.112
