Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),145,34.437334956991265,144.08356995132993,0.2769352549261315,0.5080276509311655,2.6422121682498254,5,A_baseline
Vd (L),107,791.0853257648075,2463.8786455312243,0.15739523110137868,0.494942444429611,3.596201165405056,5,A_baseline
CL (L/h),103,39.32796322146666,120.45903073575101,0.05337829346423304,0.42112142001166925,3.1013862770971588,5,A_baseline
F (%),73,26.338542240090565,31.899555069466558,0.03396306508369876,-0.1392188408299135,1.8480721503183033,5,A_baseline
PPB (%),130,17.3685450392503,24.707366921187404,0.48027511385962,0.42845305413287604,2.350438936562124,5,A_baseline
Cmax (uM),81,19.29471072656961,75.66501616082084,0.05855362896443325,0.46638097987121113,7.238118741598665,5,A_baseline
Tmax (h),91,1.4067354885562438,2.582514018568064,0.1638789929405795,0.3032226397315338,1.6267751819800869,5,A_baseline
