Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),141,58.36000144226331,365.08206948755696,0.0933984204038324,0.5309415916562414,2.8885908960244278,1,A_baseline
Vd (L),110,1865.8781898364155,14007.757065019347,0.01627584854446283,0.4929094562388494,3.6242372379312955,1,A_baseline
CL (L/h),109,80.29026840720047,482.8379371506754,-0.00686824381499866,0.21503602628387686,3.7523241511042085,1,A_baseline
F (%),71,25.294599924221846,30.90783952438694,0.2962137593444934,0.13502508148676373,1.809165577469025,1,A_baseline
PPB (%),126,24.242551442176573,34.41467223322219,0.5639021814549636,0.5926008753519018,7.258591278179203,1,A_baseline
Cmax (uM),89,40.20184929448854,155.9963392896074,0.07205900757872603,0.3376064010895472,9.203154393384025,1,A_baseline
Tmax (h),72,1.4616188419527478,2.077495823935153,0.4759652303590515,0.4003091908980327,1.8142201174615502,1,A_baseline
