Task,n,MAE,RMSE,Pearson,Spearman,GMFE,outer_fold,config
t_half (h),148,14.847624219366022,28.798099691845742,0.3800906655044774,0.35322594806338703,2.6086771366022514,2,B_ion
Vd (L),117,456.8753258289435,1270.7102230232074,0.2532445569817301,0.504617678811995,2.848624729077408,2,B_ion
CL (L/h),115,26.848104201938792,59.30253945156497,0.19816119046430974,0.3445726280335679,2.9801448796865917,2,B_ion
F (%),73,22.603149518574753,27.084456781483098,0.11385242417795678,0.07788721124942104,1.52593926361433,2,B_ion
PPB (%),135,18.64793743839971,25.93758306715181,0.560662717928638,0.546903004555613,2.055709976472309,2,B_ion
Cmax (uM),95,26.482085699144935,137.1908472299699,0.3042823056084874,0.6722122681288102,6.746141981021711,2,B_ion
Tmax (h),75,1.3479384560902914,1.9647899852400952,0.029531493034191898,0.10458591814307709,1.851931473006665,2,B_ion
